Ticker_Name,Ticker,Texts,Like_Count,Datetime
dbs,d05.SI,"@MrRich @saifyakhtar @Uber @GrabMY @pertamadigital Only managed to catch the last 5 minutes of the interview. Agree with @saifyakhtar’s take on DBs hiring folks from traditional banking setting. 

Skill sets, experiences and most importantly risk culture required for success in a DB environment may differ massively.",1,2023-02-18 05:43:20
dbs,d05.SI,"@idcrypto7 Hi, we are replying from DBS India. Please share your details with us at Live Chat in digibank application or https://t.co/tWHGxS2GAP; our team will reach out to you soon. For more details you may call our 24 hours DBS Indonesia customer center in 0804 1500 327.",0,2023-02-18 09:00:00
dbs,d05.SI,"@shimshiper Hi, we are replying from DBS India. Please share your details with us at Live Chat in digibank application or https://t.co/tWHGxS2GAP; our team will reach out to you soon. For more details you may call our 24 hours DBS Indonesia customer center in 0804 1500 327. Thank you.",0,2023-02-19 04:20:01
dbs,d05.SI,I have not yet checked my bank on my other device because I've been resting from the recent health related trauma. If you haven't given me a financial gift yet and would like to: my bank acct is dbs savings 027-906860-7 and if u have my no. I do have paynow. If u would like to do,0,2023-02-20 10:46:10
dbs,d05.SI,"@JOngkowidjaja Hi, we are replying from DBS India. If your query is pertaining to DBS Indonesia, please share your details with us at Live Chat in digibank application or https://t.co/tWHGxS2GAP; our team will reach out to you soon or may call our DBS Indonesia customer center in 0804 1500 327.",0,2023-02-21 04:25:00
dbs,d05.SI,"@WendyS96988951 Hi, we are replying from DBS India. If your query is pertaining to DBS Indonesia, please share your details with us at Live Chat in digibank application or https://t.co/tWHGxS2GAP; our team will reach out to you soon or may call our DBS Indonesia customer center in 0804 1500 327.",0,2023-02-21 06:41:00
dbs,d05.SI,"@dbsbank 
I just knew that singapore's PAYNOW and India's UPI have been linked and now we can make real time payments from singapore to India and vice versa
But I can't see any option of upi transfer on my dbs mobile app 
The app is up to date
How to use this feature",0,2023-02-21 08:56:15
dbs,d05.SI,"From India, you need to have accounts with the following banks in their own apps:
Axisbank, ICICI, IOB, SBI, DBS, Indian bank (for receiving money)

Axis and DBS cant be used to SEND money tho.

Note: You can't use your axis account on say GPay. It has to be @axisbank etc.",26,2023-02-21 10:24:45
dbs,d05.SI,"The linkage between the two systems went live Tuesday, the two nations’ central banks said at a press conference. Eight banks including DBS, Liquid Group, Axis Bank and State Bank of India from Singapore and India are currently participating in the collaboration, they said.",0,2023-02-21 10:26:32
dbs,d05.SI,"The Monetary Authority Singapore (MAS) and the RBI launched the PayNow-UPI linkage – the real-time payments systems linkage between Singapore’s PayNow and India’s Unified Payments Interface (UPI) – where DBS Bank is the first and only participating bank from Singapore.

#UPI",2,2023-02-21 10:42:41
